,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0,1.0,1.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],230.87,-76.91,-49.43,-54.33,12.04,-6.48,76.97,94.63,633.0,156.0,477.0,24.64,-0.2,1.05,-0.61,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.0,2.0,2.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],539.41,-46.05,-49.43,6.7,18.9,-6.41,52.79,16.69,78.0,18.0,60.0,23.08,-0.73,2.0,-1.54,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3.0,3.0,3.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],513.59,-48.63,-49.43,1.59,13.78,-6.41,50.82,10.59,49.0,6.0,43.0,12.24,-1.28,4.58,-2.1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,4.0,4.0,4.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],153.25,-84.67,-49.43,-69.68,6.1,-5.85,85.37,205.54,1682.0,627.0,1055.0,37.28,-0.08,0.58,-0.48,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5.0,5.0,5.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],355.03,-64.49,-49.43,-29.77,9.88,-6.48,66.95,74.09,405.0,98.0,307.0,24.2,-0.22,1.65,-0.82,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6,6.0,6.0,6.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],651.75,-34.81,-49.43,28.92,17.21,-5.05,43.22,14.16,61.0,18.0,43.0,29.51,-0.63,2.41,-1.9,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,7.0,7.0,7.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],744.12,-25.57,-49.43,47.19,18.32,-4.51,34.1,10.05,40.0,11.0,29.0,27.5,-0.64,3.69,-2.29,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
8,8.0,8.0,8.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],608.47,-39.14,-49.43,20.36,6.85,-12.46,49.45,40.58,178.0,101.0,77.0,56.74,-0.23,1.2,-2.09,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,9.0,9.0,9.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],662.54,-33.73,-49.43,31.06,19.29,-11.21,45.68,9.96,44.0,17.0,27.0,38.64,-0.81,2.45,-2.86,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,10.0,10.0,10.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],644.54,-35.53,-49.43,27.5,13.15,-4.56,44.59,9.27,39.0,7.0,32.0,17.95,-1.04,4.7,-2.29,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,11.0,11.0,11.0,[2022-05-01 00:00:00] -> [2022-06-30 09:45:00],639.81,-36.0,-49.43,26.56,12.79,-21.0,45.92,4.78,23.0,5.0,18.0,21.74,-1.7,5.39,-3.67,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
